0,DESCRIPTION,CURRENCY,UNIT,BANK SELLS,BANK BUYS
1,ARGOR CAST BAR,SGD,100 GM,7520.00,7406.00
2,CAST BARS,SGD,1 KILOBAR,74696.00,74081.00
3,GOLD CERTIFICATE,SGD,1 KILOCERT,74696.00,74081.00
4,GOLD SAVINGS A/C,SGD,1 GM,74.69,74.08
5,GOLD BULLION COINS,SGD,1 OZ,2397.00,2303.00
6,GOLD BULLION COINS,SGD,1/2 OZ,1241.00,1151.00
7,GOLD BULLION COINS,SGD,1/4 OZ,634.00,575.00
8,GOLD BULLION COINS,SGD,1/10 OZ,279.00,229.00
9,GOLD BULLION COINS,SGD,"1/20 OZ(GNC,SLC &GML)",166.00,114.00
10,PAMP GOLD BARS,SGD,100 GM,7567.00,7406.00
11,PAMP GOLD BARS,SGD,50 GM,3823.00,3702.00
12,PAMP GOLD BARS,SGD,20 GM,1564.00,1479.00
13,PAMP GOLD BARS,SGD,10 GM,814.00,738.00
14,PAMP GOLD BARS,SGD,5 GM,431.00,368.00
15,PAMP GOLD BARS,SGD,2.5 GM,238.00,182.00
16,PAMP GOLD BARS,SGD,1 GM,104.00,71.00
17,PAMP GOLD BARS,SGD,1 OZ,2382.00,2302.00
18,PAMP GOLD BARS,SGD,1/2 OZ,1212.00,1149.00
19,SILVER PASSBOOK ACCOUNT,SGD,1 OZ,27.52,26.63
0,DESCRIPTION,CURRENCY,UNIT,BANK SELLS,BANK BUYS
1,ARGOR CAST BAR,SGD,100 GM,7520.00,7406.00
2,CAST BARS,SGD,1 KILOBAR,74696.00,74081.00
3,GOLD CERTIFICATE,SGD,1 KILOCERT,74696.00,74081.00
4,GOLD SAVINGS A/C,SGD,1 GM,74.69,74.08
5,GOLD BULLION COINS,SGD,1 OZ,2397.00,2303.00
6,GOLD BULLION COINS,SGD,1/2 OZ,1241.00,1151.00
7,GOLD BULLION COINS,SGD,1/4 OZ,634.00,575.00
8,GOLD BULLION COINS,SGD,1/10 OZ,279.00,229.00
9,GOLD BULLION COINS,SGD,"1/20 OZ(GNC,SLC &GML)",166.00,114.00
10,PAMP GOLD BARS,SGD,100 GM,7567.00,7406.00
11,PAMP GOLD BARS,SGD,50 GM,3823.00,3702.00
12,PAMP GOLD BARS,SGD,20 GM,1564.00,1479.00
13,PAMP GOLD BARS,SGD,10 GM,814.00,738.00
14,PAMP GOLD BARS,SGD,5 GM,431.00,368.00
15,PAMP GOLD BARS,SGD,2.5 GM,238.00,182.00
16,PAMP GOLD BARS,SGD,1 GM,104.00,71.00
17,PAMP GOLD BARS,SGD,1 OZ,2382.00,2302.00
18,PAMP GOLD BARS,SGD,1/2 OZ,1212.00,1149.00
19,SILVER PASSBOOK ACCOUNT,SGD,1 OZ,27.52,26.63
0,DESCRIPTION,CURRENCY,UNIT,BANK SELLS,BANK BUYS
1,ARGOR CAST BAR,SGD,100 GM,7520.00,7406.00
2,CAST BARS,SGD,1 KILOBAR,74696.00,74081.00
3,GOLD CERTIFICATE,SGD,1 KILOCERT,74696.00,74081.00
4,GOLD SAVINGS A/C,SGD,1 GM,74.69,74.08
5,GOLD BULLION COINS,SGD,1 OZ,2397.00,2303.00
6,GOLD BULLION COINS,SGD,1/2 OZ,1241.00,1151.00
7,GOLD BULLION COINS,SGD,1/4 OZ,634.00,575.00
8,GOLD BULLION COINS,SGD,1/10 OZ,279.00,229.00
9,GOLD BULLION COINS,SGD,"1/20 OZ(GNC,SLC &GML)",166.00,114.00
10,PAMP GOLD BARS,SGD,100 GM,7567.00,7406.00
11,PAMP GOLD BARS,SGD,50 GM,3823.00,3702.00
12,PAMP GOLD BARS,SGD,20 GM,1564.00,1479.00
13,PAMP GOLD BARS,SGD,10 GM,814.00,738.00
14,PAMP GOLD BARS,SGD,5 GM,431.00,368.00
15,PAMP GOLD BARS,SGD,2.5 GM,238.00,182.00
16,PAMP GOLD BARS,SGD,1 GM,104.00,71.00
17,PAMP GOLD BARS,SGD,1 OZ,2382.00,2302.00
18,PAMP GOLD BARS,SGD,1/2 OZ,1212.00,1149.00
19,SILVER PASSBOOK ACCOUNT,SGD,1 OZ,27.52,26.63
0,DESCRIPTION,CURRENCY,UNIT,BANK SELLS,BANK BUYS
1,ARGOR CAST BAR,SGD,100 GM,7520.00,7406.00
2,CAST BARS,SGD,1 KILOBAR,74696.00,74081.00
3,GOLD CERTIFICATE,SGD,1 KILOCERT,74696.00,74081.00
4,GOLD SAVINGS A/C,SGD,1 GM,74.69,74.08
5,GOLD BULLION COINS,SGD,1 OZ,2397.00,2303.00
6,GOLD BULLION COINS,SGD,1/2 OZ,1241.00,1151.00
7,GOLD BULLION COINS,SGD,1/4 OZ,634.00,575.00
8,GOLD BULLION COINS,SGD,1/10 OZ,279.00,229.00
9,GOLD BULLION COINS,SGD,"1/20 OZ(GNC,SLC &GML)",166.00,114.00
10,PAMP GOLD BARS,SGD,100 GM,7567.00,7406.00
11,PAMP GOLD BARS,SGD,50 GM,3823.00,3702.00
12,PAMP GOLD BARS,SGD,20 GM,1564.00,1479.00
13,PAMP GOLD BARS,SGD,10 GM,814.00,738.00
14,PAMP GOLD BARS,SGD,5 GM,431.00,368.00
15,PAMP GOLD BARS,SGD,2.5 GM,238.00,182.00
16,PAMP GOLD BARS,SGD,1 GM,104.00,71.00
17,PAMP GOLD BARS,SGD,1 OZ,2382.00,2302.00
18,PAMP GOLD BARS,SGD,1/2 OZ,1212.00,1149.00
19,SILVER PASSBOOK ACCOUNT,SGD,1 OZ,27.52,26.63
